Parameter,Values,lo,hi
u,0.91663,0.9166329771961058,0.9166329771961058
beta,0.79486,0.7948602021006594,0.7948602021006594
fdelt,1.0559,1.0558611282033508,1.0558611282033508
m,0.99,0.938,0.999
sigma,0.012,,
offset,-0.05030,,
