Parameter,HT,June
u,4.670270494159695,4.976059990275644
B,0.5574736619999059,0.6613531146434464
df0,1.1390673462026317,1.008345366269026
v,0.5502256726408008,0.9999999999975755
%\sigma,0.22158323620242074,0.9517195023956431
