Timestamp,Elapsed Time[s],num_data_Avg,Rxy_X[ohms],Rxy_Y[ohms],Ryx_X[ohms],Ryx_Y[ohms],Rxx_X[ohms],Rxx_Y[ohms],Field_Digital[T],Field_Analog[T],T_VTI[K],T_Sample[K],V_LED_R[V]
2024-06-18 17:07:48.168373,0.002018451690673828,1,182.14991130932518,-2.4954741409048657,-199.52484550767835,2.113378412272838,147.2715146336281,-1.87845923088147,0.5001,0.5023,192.999,199.636,-0.00145489857
2024-06-18 17:07:49.189799,1.0234448909759521,1,181.99483760999507,-2.5477925430522546,-199.64010715122828,2.160956269221925,147.27426173705607,-1.7535725390589108,0.5001,0.5023,192.999,199.637,-0.00145292574
2024-06-18 17:07:50.193920,2.0275657176971436,1,182.29967965038352,-2.63956711778007,-199.39839496880458,2.1364335232428235,147.2784662619929,-1.8817084323923623,0.5001,0.5022,192.999,199.636,-0.00145932042
2024-06-18 17:07:51.218216,3.0518617630004883,1,182.14959904133786,-2.4867400836258335,-199.5164328324928,2.0378654601286135,147.3175511365417,-1.8123321733692455,0.5001,0.5023,193.0,199.636,-0.00145006854
2024-06-18 17:07:52.193941,4.027585983276367,1,182.16470721321068,-2.366006084662012,-199.54389392951558,2.143060657111425,147.28076695861975,-1.8784301198335824,0.5001,0.5023,193.0,199.636,-0.001451157
2024-06-18 17:07:53.210101,5.043745994567871,1,182.1723897604934,-2.4974118518704524,-199.45674705537172,2.243321532597231,147.27621709935053,-1.8652447982536497,0.5001,0.5023,193.0,199.635,-0.00145054474
2024-06-18 17:07:54.199835,6.033479928970337,1,182.17778922282636,-2.5294897781946153,-199.5312040033602,2.120401749391256,147.31594406298768,-1.9166632800220123,0.5007,0.5022,192.999,199.636,-0.00146347016
2024-06-18 17:07:55.233442,7.067087411880493,1,182.1966707498852,-2.434813376267943,-199.41082968021254,2.0755148155977343,147.33208633282064,-1.8593176808722824,0.5001,0.5023,193.0,199.635,-0.00145224546
2024-06-18 17:07:56.232191,8.065836668014526,1,182.39046953197177,-2.43403830710628,-199.40849462438058,2.1183806962616503,147.28845003431576,-1.8946551626495791,0.4991,0.5023,193.0,199.637,-0.00145047671
2024-06-18 17:07:57.248569,9.082215070724487,1,181.67105772240964,-2.4931131615006317,-199.88273281337024,2.2576446195443634,147.03395507857542,-1.7906995955910572,0.5001,0.5023,193.0,199.636,-0.00144707515
2024-06-18 17:07:58.215319,10.048964500427246,1,182.27586776413438,-2.6095604881035714,-199.49570674566144,2.0726650902243486,147.25927271339623,-1.878867613510405,0.5001,0.5023,192.999,199.637,-0.00145163306
2024-06-18 17:07:59.217235,11.050880670547485,1,181.8792193250749,-2.52566489900288,-199.7025385836438,2.1770523172120897,147.1488786389947,-1.8345203330298923,0.4991,0.5023,193.0,199.637,-0.00144952426
2024-06-18 17:08:00.221224,12.054869413375854,1,181.91316518028026,-2.517760810800403,-199.69769977213127,2.0929773390446647,147.18234672130507,-1.9919149943716017,0.4996,0.5022,192.999,199.636,-0.00144673514
2024-06-18 17:08:01.225870,13.059515476226807,1,182.06756364084663,-2.5450613696765183,-199.57633362938137,2.202803067541348,147.31150112258476,-1.8037597684017252,0.4991,0.5023,193.0,199.637,-0.00145408223
2024-06-18 17:08:02.252492,14.086137294769287,1,182.09573025161396,-2.504426890750324,-199.58195219776306,2.2171482771770616,147.30502691678973,-1.7947101596679904,0.4991,0.5023,193.0,199.636,-0.00145040868
2024-06-18 17:08:03.233382,15.067027807235718,1,182.22062630693713,-2.259894082149694,-199.51520629558453,2.1337400820725843,147.26442302325796,-1.815858448381682,0.5001,0.5023,193.0,199.637,-0.00145238151
2024-06-18 17:08:04.264703,16.098348379135132,1,182.19138651917547,-2.691139896880078,-199.5541479138385,2.099871508854492,147.24608646496694,-1.871965248948353,0.5001,0.5023,192.999,199.638,-0.001453198
2024-06-18 17:08:05.275323,17.10896873474121,1,181.82784600551085,-2.40910836017258,-199.68592493841757,2.212349820425714,147.16800668323924,-1.9492190210847993,0.5001,0.5022,192.999,199.635,-0.00145013671
2024-06-18 17:08:06.246322,18.079967737197876,1,182.10484940158724,-2.51154885890234,-199.48987852023183,2.015154428962582,147.2521475921969,-1.8762320901948821,0.4996,0.5023,192.999,199.636,-0.00145142911
2024-06-18 17:08:07.251132,19.08477783203125,1,182.0976378641797,-2.3921118376457224,-199.56277039418478,2.0330637475800244,147.25272819102804,-1.9284970125927396,0.5001,0.5023,192.999,199.637,-0.00144795966
2024-06-18 17:08:08.253936,20.087581157684326,1,182.591603389608,-2.3428139209557517,-199.40987155261573,2.0670935651031463,147.2630634144925,-1.8823222381102902,0.4996,0.5023,192.999,199.637,-0.00145115714
2024-06-18 17:08:09.259266,21.0929114818573,1,182.27614924187824,-2.2162053381920765,-199.5392144655364,2.110883006214616,147.24085315567982,-1.8880136052370935,0.4996,0.5023,193.0,199.637,-0.00145333405
2024-06-18 17:08:10.260608,22.094253540039062,1,182.21483865675228,-2.242880817273448,-199.5613505364919,2.109398645426448,147.23264822803654,-1.883290304135951,0.5001,0.5023,193.0,199.636,-0.00145299391
2024-06-18 17:08:11.289340,23.12298607826233,1,182.2716770161339,-2.4677299056398687,-199.3627970680463,2.196195409493929,147.2780996742192,-1.8683547301723884,0.4996,0.5022,193.0,199.637,-0.00144782374
2024-06-18 17:08:12.268112,24.101757049560547,1,182.14391031428931,-2.4678024210038165,-199.48370934566447,2.1170131321290957,147.36294635639578,-1.8972144110556226,0.4991,0.5022,193.0,199.637,-0.00144959248
2024-06-18 17:08:13.294334,25.12797975540161,1,182.0086035474646,-2.4369935115129904,-199.58667689347885,2.1048494792105235,147.35854581969534,-1.9696840146394141,0.5007,0.5022,192.999,199.637,-0.001450817
2024-06-18 17:08:14.271878,26.105523586273193,1,182.11872274318483,-2.5517207925912575,-199.5232958982871,2.1459119910326643,147.30304665860524,-1.9205179932234973,0.4991,0.5023,193.0,199.636,-0.00145285785
2024-06-18 17:08:15.302849,27.136494636535645,1,182.17503485200527,-2.4980666863992504,-199.4181099270329,1.848093701174273,147.24086653247718,-1.8497319471050868,0.4996,0.5023,192.999,199.636,-0.00144476232
2024-06-18 17:08:16.277257,28.110902309417725,1,182.27937157273894,-2.398886303767359,-199.4346292206803,2.0491842423153597,147.2903821731818,-1.8877827007497314,0.5001,0.5023,193.0,199.635,-0.00144435415
2024-06-18 17:08:17.301828,29.135473489761353,1,182.10642706988958,-2.3444421429981688,-199.56951888846726,2.1877524444488983,147.24423833742247,-1.9180303768539868,0.4991,0.5022,192.999,199.636,-0.00144802769
2024-06-18 17:08:18.301898,30.13554334640503,1,182.00717042326605,-2.360733480118789,-199.60943301449478,2.2777327488863284,147.19100119082208,-1.8524126898889164,0.4991,0.5023,193.0,199.638,-0.00144585077
2024-06-18 17:08:19.287544,31.12118935585022,1,182.15978243556083,-2.559990065824027,-199.4393123409215,2.0564665415674535,147.2835202445499,-1.9027733275497734,0.5001,0.5022,193.0,199.636,-0.00145142911
2024-06-18 17:08:20.293023,32.126667976379395,1,182.1474214792319,-2.501333881188532,-199.58339345017086,2.149048066554858,147.35623292202092,-1.8911012119317463,0.4996,0.5023,193.0,199.636,-0.00143932003
2024-06-18 17:08:21.296360,33.13000535964966,1,182.167831371157,-2.5068731669800144,-199.53146327471836,2.165601725050609,147.3705247758297,-1.8501963237310906,0.4996,0.5023,193.001,199.636,-0.00143870778
2024-06-18 17:08:22.319829,34.15347504615784,1,182.15613474192713,-2.4836684207581388,-199.50642163788692,2.15166400479619,147.3059180341782,-1.8899004378174526,0.5001,0.5022,193.0,199.637,-0.00144789163
2024-06-18 17:08:23.302933,35.13657832145691,1,182.16231047519784,-2.6183301667477714,-199.3940380418542,2.059753290354116,147.3155378130849,-1.89264631594412,0.5001,0.5022,192.999,199.635,-0.00144945629
