Timestamp,Elapsed Time (s),Rxy_X,Rxy_Y,Ryx_X,Ryx_Y,Rxx_X,Rxx_Y,Sample_Stage,Input_B,Magnet_Stage,Arm,CCR_2nd_Stage,CCR_1st_Stage,Rad_Stage,reference,Field (T),LED_ON
2024-05-02T16:42:46.165465,-197.81316614151,0.0006123836701320543,-6.218508312338277e-06,-0.0006012494720600059,4.8919207543919825e-06,0.0006400367945266733,-5.178395985116658e-06,295.0,0.0,3.687,137.493,3.3037,33.4424,42.0683,0.0,1.00013,False
2024-05-02T16:42:46.779368,-197.19926357269287,0.0006125835124831209,-6.190373689911131e-06,-0.0006011980662510219,4.838313831416623e-06,0.0006400936269591868,-5.1939699908238915e-06,295.0,0.0,3.6855,137.493,3.3002,33.443,42.0684,0.0,1.00013,False
2024-05-02T16:42:47.425476,-196.5531554222107,0.0006128047925986314,-6.182111611730542e-06,-0.0006010874520813044,4.939908215936953e-06,0.0006401243246260864,-5.222370516605465e-06,294.999,0.0,3.6913,137.493,3.3138,33.4413,42.0686,0.0,1.00013,False
2024-05-02T16:42:48.066551,-195.91208028793335,0.0006126476198502365,-6.328750054064325e-06,-0.0006010497931498277,5.090481864991057e-06,0.0006400334541458258,-5.139474105509602e-06,295.0,0.0,3.693,137.493,3.3304,33.441,42.0684,0.0,1.00013,False
2024-05-02T16:42:48.708762,-195.26986956596375,0.0006124586814960886,-6.413588550585211e-06,-0.0006012362518616046,5.072519904478102e-06,0.0006399620196545393,-5.015888197661342e-06,295.001,0.0,3.686,137.493,3.337,33.4405,42.0686,0.0,1.00013,False
2024-05-02T16:42:49.319162,-194.65946888923645,0.0006126766931484331,-6.2201941707751546e-06,-0.0006011678236655288,5.028258507224064e-06,0.0006399918167252252,-5.013878356424701e-06,295.0,0.0,3.6845,137.493,3.3294,33.443,42.0687,0.0,1.00013,False
2024-05-02T16:42:49.927653,-194.0509786605835,0.0006128491997474488,-6.034739671783223e-06,-0.0006010921688402086,4.9787709458993335e-06,0.0006400334508878143,-4.92736720863879e-06,295.0,0.0,3.6905,137.493,3.3275,33.4427,42.0687,0.0,1.00013,False
2024-05-02T16:42:50.786495,-193.1921362876892,0.0006126234515958106,-5.977633749662276e-06,-0.0006012055075242495,4.968966832478119e-06,0.0006401743322041377,-4.78021783878402e-06,295.0,0.0,3.6891,137.493,3.3198,33.442,42.0686,0.0,1.00013,False
2024-05-02T16:42:51.465281,-192.5133500099182,0.0006126827172087643,-6.193405861032076e-06,-0.0006011868149998912,4.95684963125923e-06,0.0006402321625935659,-4.865082820201816e-06,295.0,0.0,3.692,137.493,3.31,33.441,42.0686,0.0,1.00013,False
2024-05-02T16:42:52.564668,-191.41396307945251,0.000612709948483383,-6.437941377970779e-06,-0.0006008397044988727,4.076828721874959e-06,0.0006400521000470978,-5.13580405938648e-06,295.001,0.0,3.6847,137.493,3.2935,33.4402,42.0686,0.0,1.00013,False
2024-05-02T16:42:53.213908,-190.76472330093384,0.0006125730771922581,-6.166902332150156e-06,-0.0006009317762319835,3.809495658767176e-06,0.000639943196481528,-5.226860036473097e-06,295.001,0.0,3.6908,137.493,3.2908,33.4399,42.0686,0.0,1.00013,False
2024-05-02T16:42:53.870355,-190.10827660560608,0.0006125135297074404,-5.6150324709162346e-06,-0.0006011771310237766,3.947258187743509e-06,0.0006398961482080948,-5.317046738426684e-06,295.0,0.0,3.6926,137.493,3.2849,33.4398,42.0686,0.0,1.00013,False
2024-05-02T16:42:54.536408,-189.44222283363342,0.0006123164600731866,-5.308843006587638e-06,-0.0006014580209134151,4.283351309101845e-06,0.0006399167128207485,-5.545358186868502e-06,295.0,0.0,3.6835,137.492,3.2792,33.4387,42.0686,0.0,1.00013,False
