Parameters:
  Sample : 50
  Solvent : <unspecified>
  Comment : 7:27
  Exc_Wavelength : 376.7 nm
  Exc_Bandpass : 1.8 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Intensity : 94 %
  Exc_Attenuation : open (5)
  Det_Wavelength : 496.0 nm
  Det_Bandpass : 9.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 7.7 mm
  Det_Attenuation : 10 %
  Det_Filter : 405 LP (5)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-VIS [HPD]
  Meas_Time : 0.0 s
  Meas_BinWidth : 128000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 10000 counts
  Meas_PeakCounts : 10000 counts
  Sync_Frequency : 3000 Hz
  Sync_Source : PDL 820
  Base Sync Rate : 40.0 MHz
  Number of Bursts : 50 
  Effective Sync Rate : 3.0 kHz
  Signal_Rate : 940 cps
  Start_Date : 12/11/2023
  Start_Time : 10:20:22
  PhotonCounter : TimeHarp 260 N 1031483 0111-0120-01.21
  EasyTau : 3313
  Signal_TrigLevel : -30 mV
  Signal_TrigEdge : false
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -80 mV
  Sync_TrigEdge : false
  Sync_Offset : 36000 ps
  Sync_SyncDiv : 1 

Data:
Time [ns]	Intensity [Cnts.]
11008.0000013113	2411
11135.9995571547	2262
11264.0000224928	2302
11391.9995783363	2281
11520.0000436744	2195
11647.9995995178	2156
11776.0000648559	2216
11903.9996206993	2115
12032.0000860374	2141
12159.9996418809	2013
12287.9991977243	1960
12415.9996630624	2057
12543.9992189058	1979
12671.9996842439	1813
12799.9992400873	1860
12927.9997054255	1848
13055.9992612689	1853
13183.999726607	1763
13311.9992824504	1794
13439.9997477885	1638
13567.999303632	1716
13695.9997689701	1651
13823.9993248135	1601
13951.9997901516	1678
14079.999345995	1617
14207.9998113331	1526
14335.9993671766	1550
14463.9998325147	1477
14591.9993883581	1415
14719.9998536962	1398
14847.9994095396	1393
14975.9998748777	1421
15103.9994307212	1329
15231.9998960593	1321
15359.9994519027	1326
15487.9999172408	1333
15616.0003825789	1284
15743.9990289276	1293
15871.9994942658	1242
15999.9999596039	1275
16128.000424942	1209
16255.9990712907	1228
16383.9995366288	1228
16512.000001967	1184
16639.9986483157	1157
16767.9991136538	1110
16895.9995789919	1095
17024.00004433	1078
17151.9986906787	1104
17279.9991560169	1014
17407.999621355	999
17536.0000866931	937
17663.9987330418	1003
17791.9991983799	931
17919.999663718	999
18048.0001290562	892
18175.9987754049	946
18303.999240743	889
18431.9997060811	946
18560.0001714192	883
18687.9988177679	877
18815.9992831061	917
18943.9997484442	890
19072.0002137823	814
19199.998860131	790
19327.9993254691	781
19455.9997908073	775
19584.0002561454	829
19711.9989024941	743
19839.9993678322	786
19967.9998331703	751
20096.0002985084	747
20223.9989448572	669
20351.9994101953	715
20479.9998755334	679
20607.9985218821	670
20735.9989872202	721
20863.9994525583	657
20991.9999178965	663
21119.9985642452	617
21247.9990295833	614
21375.9994949214	606
21503.9999602595	629
21631.9986066082	652
21759.9990719464	539
21887.9995372845	570
22016.0000026226	589
22143.9986489713	527
22271.9991143094	635
22399.9995796476	574
22528.0000449857	542
22655.9986913344	538
22783.9991566725	543
22911.9996220106	525
23040.0000873487	538
23167.9987336975	522
23295.9991990356	496
23423.9996643737	484
23552.0001297118	496
23679.9987760605	475
23807.9992413986	448
23935.9997067368	467
24064.0001720749	483
24191.9988184236	478
24319.9992837617	415
24447.9997490998	472
24575.9983954486	436
24703.9988607867	435
24831.9993261248	456
24959.9997914629	399
25087.9984378116	438
25215.9989031497	401
25343.9993684879	408
25471.999833826	375
25599.9984801747	395
25727.9989455128	401
25855.9994108509	383
25983.999876189	384
26111.9985225378	379
26239.9989878759	395
26367.999453214	357
26495.9999185521	347
26623.9985649008	369
26751.9990302389	327
26879.9994955771	310
27007.9999609152	355
27135.9986072639	331
27263.999072602	321
27391.9995379401	326
27520.0000032783	297
27647.998649627	303
27775.9991149651	290
27903.9995803032	332
28032.0000456413	324
28159.99869199	305
28287.9991573282	287
28415.9996226663	287
28544.0000880044	287
28671.9987343531	267
28799.9991996912	268
28927.9996650293	241
29055.9983113781	257
29183.9987767162	285
29311.9992420543	281
29439.9997073924	244
29567.9983537411	243
29695.9988190793	220
29823.9992844174	276
29951.9997497555	231
30079.9983961042	238
30207.9988614423	214
30335.9993267804	244
30463.9997921186	223
30592.0002574567	249
30719.9989038054	237
30847.9975501541	244
30975.9998344816	210
31103.9984808303	222
31232.0007651579	232
31359.9994115066	216
31487.9980578553	202
31616.0003421828	215
31743.9989885315	203
31871.9976348802	214
31999.9999192078	192
32127.9985655565	190
32256.000849884	225
32383.9994962327	207
32511.9981425814	202
32640.000426909	191
32767.9990732577	206
32895.9977196064	205
33024.0000039339	157
33151.9986502826	194
33279.9972966313	175
33407.9995809589	183
33535.9982273076	158
33664.0005116351	171
33791.9991579838	158
33919.9978043325	154
34048.00008866	133
34175.9987350088	169
34303.9973813575	141
34431.999665685	148
34559.9983120337	171
34688.0005963612	164
34815.99924271	175
34943.9978890587	152
35072.0001733862	175
35199.9988197349	166
35327.9974660836	153
35455.9997504111	137
35583.9983967599	151
35712.0006810874	139
35839.9993274361	169
35967.9979737848	143
36096.0002581123	140
36223.998904461	133
36351.9975508098	135
36479.9998351373	136
36607.998481486	110
36736.0007658135	145
36863.9994121622	140
36991.9980585109	124
37120.0003428385	130
37247.9989891872	112
37375.9976355359	116
37503.9999198634	117
37631.9985662121	120
37759.9972125608	120
37887.9994968884	103
38015.9981432371	114
38144.0004275646	125
38271.9990739133	120
38399.997720262	140
38528.0000045896	105
38655.9986509383	112
38783.997297287	90
38911.9995816145	113
39039.9982279632	108
39168.0005122907	87
39295.9991586395	108
39423.9978049882	113
39552.0000893157	109
39679.9987356644	82
39807.9973820131	111
39935.9996663406	92
40063.9983126894	98
40192.0005970169	94
40319.9992433656	101
40447.9978897143	92
40576.0001740418	99
40703.9988203906	87
40831.9974667393	88
40959.9997510668	98
41087.9983974155	77
41215.9970437642	91
41343.9993280917	67
41471.9979744405	79
41600.000258768	79
41727.9989051167	65
41855.9975514654	81
41983.9998357929	87
42111.9984821416	69
42239.9971284904	75
42367.9994128179	93
42495.9980591666	70
42624.0003434941	74
42751.9989898428	73
42879.9976361915	82
43007.9999205191	64
43135.9985668678	78
43263.9972132165	71
43391.999497544	79
43519.9981438927	73
43648.0004282203	64
43775.999074569	82
43903.9977209177	70
44032.0000052452	66
44159.9986515939	61
44287.9972979426	74
44415.9995822702	67
44543.9982286189	63
44672.0005129464	67
44799.9991592951	69
44927.9978056438	79
45056.0000899713	51
45183.9987363201	66
45311.9973826688	66
45439.9996669963	48
45567.998313345	53
45695.9969596937	60
45823.9992440213	65
45951.99789037	71
46080.0001746975	68
46207.9988210462	58
46335.9974673949	58
46463.9997517224	57
46591.9983980712	70
46719.9970444199	55
46847.9993287474	58
46975.9979750961	58
47104.0002594236	52
47231.9989057723	48
47359.9975521211	41
47487.9998364486	44
47615.9984827973	50
47743.997129146	62
47871.9994134735	35
47999.9980598222	50
48128.0003441498	50
48255.9989904985	62
48383.9976368472	53
48511.9999211747	52
48639.9985675234	54
48767.9972138721	49
48895.9994981997	49
49023.9981445484	55
49151.9967908971	53
49279.9990752246	35
49407.9977215733	37
49536.0000059009	57
49663.9986522496	40
49791.9972985983	40
49919.9995829258	54
50047.9982292745	38
50175.9968756232	37
50303.9991599508	47
50431.9978062995	43
50560.000090627	34
50687.9987369757	43
50815.9973833244	39
50943.9996676519	38
51071.9983140007	52
51199.9969603494	37
51327.9992446769	35
51455.9978910256	36
51584.0001753531	38
51711.9988217019	29
51839.9974680506	35
51967.9997523781	39
52095.9983987268	36
52223.9970450755	27
52351.999329403	36
52479.9979757518	40
52608.0002600793	33
52735.998906428	43
52863.9975527767	27
52991.9998371042	27
53119.9984834529	37
53247.9971298017	36
53375.9994141292	38
53503.9980604779	31
53631.9967068266	26
53759.9989911541	19
53887.9976375028	28
54015.9999218304	30
54143.9985681791	36
54271.9972145278	34
54399.9994988553	36
54527.998145204	39
54655.9967915528	28
54783.9990758803	20
54911.997722229	28
55040.0000065565	26
55167.9986529052	31
55295.9972992539	30
55423.9995835815	31
55551.9982299302	27
55679.9968762789	31
55807.9991606064	20
55935.9978069551	22
56064.0000912826	25
56191.9987376314	30
56319.9973839801	35
56447.9996683076	33
56575.9983146563	23
56703.996961005	22
56831.9992453326	24
56959.9978916813	21
57088.0001760088	25
57215.9988223575	27
57343.9974687062	32
57471.9997530337	35
57599.9983993825	29
57727.9970457312	25
57855.9993300587	35
57983.9979764074	22
58111.9966227561	23
58239.9989070836	24
58367.9975534324	27
58495.9998377599	22
58623.9984841086	25
58751.9971304573	23
